Date;AA;AIG;ATT;AXP;BA;CAT;CITI;DD;DIS;GE;GM;HD;HON;HP;IBM;INT;JNJ;JPM;KO;MCD;MMM;MO;MRK;MSFT;PFE;PG;UTX;VZ;WM;XON
07.июн.05;26,84;54,97;22,23;47,42;64,52;46,5;46,24;45,48;27;35,85;29,4;39,66;35,78;22,25;74,49;26,56;65,48;34,21;42,95;28,98;75,02;64,92;30,91;25,27;27,26;54,32;52,87;33,36;47,47;56,58
08.июн.05;26,84;54,69;22,33;47,31;63,72;47,51;46,32;45,09;27,12;35,81;30,64;39,34;35,54;22,18;74,26;26,8;65,31;34,4;42,75;28,64;75,23;65,85;30,47;25,17;26,96;54,19;52,47;33,39;47,28;55,87
09.июн.05;26,54;55,28;22,2;47,44;64,35;47,93;46,26;45,13;27,26;35,8;30,44;39,27;35,56;22,5;74,38;27,4;65,67;34,23;42,51;28,4;74,86;66,33;30,2;25,27;26,84;54,08;52,33;33,14;47,52;57,55
10.июн.05;26,67;54,83;22,41;47,45;63,9;47,72;46,22;46;27,23;35,64;33,02;39,17;35,8;23,23;74,23;26,68;65,42;34,17;42,8;28,94;74,48;66,27;30,24;25,2;26,99;53,64;51,83;33,18;47,68;57,49
13.июн.05;26,96;55,23;22,68;47,67;63,88;48;46,18;45,63;27,47;35,56;32,96;39,42;35,51;23,7;74,5;26,7;65,41;34,23;42,72;28,52;74,77;66,14;30,4;25,08;27,19;53,21;52,08;33,24;47,98;57,56
14.июн.05;26,83;55,3;22,67;47,7;62,2;48,49;45,99;45,69;27,35;35,43;34,32;39,69;36,24;23,66;74,34;26,41;65,52;34,33;42,86;28,71;75,33;64,81;30,62;25,13;27,68;53,29;52,3;33,33;49,37;57,66
15.июн.05;27,12;55,14;22,77;47,7;63,66;48,49;45,99;45,6;26,76;35,34;34,77;39,69;36,69;23,69;75,74;26,64;65,3;34,44;42,77;28,37;74,81;64,36;30,73;25,03;27,72;53,3;51,72;33,48;49,54;58,35
16.июн.05;27,48;54,97;22,72;47,64;62,95;48,36;46,12;45,93;26,5;35,14;34,08;39,86;37,46;23,71;76,49;26,82;65,25;34,62;42,9;28,54;75,34;64,49;30,83;24,81;27,89;53,15;51,89;33,27;49,05;59,21
17.июн.05;27,8;55,28;22,78;47,56;63,87;49,29;46,04;45,7;26,42;35,52;34,14;39,86;37,5;23,72;75,83;26,82;65,5;34,79;43,17;28,42;75,59;64,9;31,04;24,81;28,06;53,32;52,5;33,35;48,63;59,97
20.июн.05;27,55;55,41;22,83;47,37;62,93;49,58;45,96;45,56;26,31;35,3;34,27;39,61;37,21;23,66;75,99;26,6;65,49;34,76;43,03;28,48;75,85;64,72;30,94;24,88;28,04;53,15;52,65;33,46;48,56;59,93
21.июн.05;27,36;56,02;22,64;47,49;62,05;50,27;45,91;45,47;26,45;35,18;34,36;39,35;37,09;24,41;75,85;26,88;65,47;34,75;42,81;28,46;75,85;64,8;30,82;24,92;27,9;53,23;52,26;33,33;48,23;58,61
22.июн.05;27,25;55,68;22,56;47,51;62,39;49,47;46,02;45,37;26,41;34,76;33,32;39,37;37,09;24,31;76,67;26,81;64,95;34,97;42,56;28,44;76,53;65,11;30,81;24,84;28,07;53,33;52,32;33,35;48,49;58,77
23.июн.05;26,76;54,94;22,44;46,56;61,14;48,44;45,48;44,23;25,99;33,93;32,37;38,81;36,78;24,2;74,86;26,48;64,31;34,65;42,21;28;74,55;64,09;30,11;25,08;28,18;52,57;51,73;33,06;47,58;58,13
24.июн.05;26,04;54,28;22,29;46,5;59,88;47,64;45,55;43,5;25,77;34,05;32,61;37,92;36,1;23,61;73,47;25,81;64,54;34,3;41,36;27,71;74,17;63,07;29,43;24,81;27,81;51,75;51,49;32,82;47,08;57,27
27.июн.05;25,67;54,77;22,36;46,29;61,04;47,67;45,37;43,35;25,36;33,89;32,02;38,15;35,71;23,32;73,34;25,58;64,61;34,32;41,48;27,59;74,48;62,9;29,39;24,82;27,38;51,6;50,9;32,73;47,23;58,4
28.июн.05;25,95;54,91;22,48;46,84;61,72;48,11;45,62;43,76;25,59;34,41;32,88;38,98;36,37;23,47;74,75;26,04;65,02;34,64;42,01;27,67;75,76;63,11;29,84;24,84;27,2;52,25;52,38;32,99;48,13;58,19
29.июн.05;25,88;58,2;22,71;46,52;60,95;47,54;45,38;43,45;25,16;34,27;32,69;38,47;36,33;23,88;74,19;25,96;64,66;34,68;41,85;27,35;74,72;63,02;29,7;24,86;27,14;52,38;51,87;33,07;48,24;57,55
30.июн.05;25,71;57,82;22,53;46,27;65,23;46,88;44,85;41,88;24,92;33,93;32,53;38,57;36,03;23,32;73,66;25,73;63,97;34,06;40,92;27,19;71,05;62,6;29,67;24,61;26,89;51,68;50,73;32,9;47,9;56,6
01.июл.05;25,72;58,33;22,7;46,54;63,92;47,19;44,78;41,7;24,83;34,01;33,15;39,16;35,69;23,29;74,13;25,92;63,92;34,14;41,37;27,38;71,73;62,95;29,93;24,48;26,42;51,83;50,76;32,92;47,98;57,43
05.июл.05;25,78;59,21;22,86;46,9;64,66;47,3;45,07;41,86;24,78;33,99;33,27;39,74;35,37;23,52;74,25;26,39;63,82;34,05;41,55;27,41;72,34;62,97;29,96;24,75;26,37;51,68;51,01;33,25;49,49;59,23
06.июл.05;25,58;58,86;22,7;46,3;63,54;46,88;44,92;41,48;24,53;33,6;32,74;38,94;34,86;23,77;75,26;26,21;63,13;33,69;41,11;27,14;71,57;62,56;29,44;24,47;26,1;51,43;49,94;33,16;49,08;58,21
07.июл.05;25,67;58,99;22,46;46,48;64,42;47,89;44,89;41,56;24,19;33,46;32,36;39,03;34,83;23,96;76,82;26,27;62,9;33,55;40,93;27,44;72,53;62,15;28,88;24,42;26,08;51,1;50,12;33,05;49,2;58,62
08.июл.05;26,77;59,76;22,66;46,88;64,31;48,55;45,12;42,35;24,74;34,26;33,18;39,74;35,43;24,09;78,72;26,98;63,26;33,89;41,88;28,07;73,7;62,8;29,87;24,86;26,46;51,88;50,91;33,14;49,59;58,5
11.июл.05;27,25;60,23;22,87;46,92;64,21;49,17;44,73;42,99;24,92;34,38;34,25;39,96;35,3;23,94;78,39;27,4;63,76;34,04;41,92;28,39;74,81;63,73;30,1;25,06;26,44;52,81;51,16;33,04;49,49;59,06
12.июл.05;27,22;60,22;22,96;46,79;63,55;48,68;44,63;42,81;25,14;34,37;34,31;40,95;35,51;23,92;79,46;27,44;63,75;34,32;41,96;28,57;73,57;62,99;30,45;25,37;26,39;52,85;50,55;32,99;49,78;58,98
13.июл.05;26,98;60,3;22,97;46,88;63,83;49,11;44,37;43,08;25,44;34,44;34,32;40,63;35,59;24,23;80,86;27,29;63,4;34,56;42,07;29;73,82;63,73;30,47;25,42;26,55;53,47;50,83;33,31;49,83;58,85
14.июл.05;27,13;60,36;23,17;47,01;63,83;50,17;45,11;43,04;26,05;34,88;35,4;40,69;36,01;24,42;81,82;27,57;63,57;34,75;42,32;29;74,12;64,5;30,74;25,73;26,91;53,64;50,98;33,52;50,2;57,7
15.июл.05;27,06;60,92;23,19;46,73;63,99;49,85;45,03;42,9;26,1;34,79;35,15;41,26;35,97;24,74;81,78;27,99;64;34,92;42,22;30,37;74,14;64,52;30,74;25,55;26,88;53,39;51,08;33,42;49,94;57,28
18.июл.05;27,23;59,81;22,92;46,07;63,98;50;43,66;42,53;25,78;34,46;34,93;42,09;36,14;24,72;81,21;27,92;63,57;34,58;42,07;30,28;73,24;63,81;30,72;25,31;26,57;53,51;50,75;33,1;49,68;57,27
19.июл.05;27,65;60,41;22,87;46,42;64,13;52,53;43,07;42,74;25,49;34,59;35,24;42,84;36,98;24,32;83,09;28,39;63,99;34,28;42,46;30,23;73;63,18;30,78;25,92;26,7;53,77;51,22;33,23;49,45;57,89
20.июл.05;28,08;60,36;22,88;46,86;65,31;52,58;42,89;43,13;25,56;34,56;35;43,58;38,1;24,53;83,98;27,14;63,93;34,24;42,46;30,28;73,38;64,15;30,69;25,95;26,38;54,18;51,31;33,19;49,69;58,11
21.июл.05;28,17;60,26;22,79;47,23;64,94;51,69;42,83;42,98;25,29;34,27;34,43;42,98;37,91;24,1;83,79;26,73;62,96;34,47;43,07;30,16;73,26;63,7;30,23;26,2;25,93;54,29;51,17;32,93;49,08;57,01
22.июл.05;28,15;60,45;22,8;47,44;65,43;51,8;43,09;43,04;25,56;34,34;34,68;43,1;37,57;23,99;83,83;26,46;63,3;34,66;43,15;30,32;73,41;64,4;30;25,44;25,84;54,15;50,52;32,92;49,23;58,6
25.июл.05;27,91;60,21;22,91;47,43;65,28;51,25;43,2;42,88;25,37;34,04;34,32;42,7;37,2;24,11;83,59;26,23;62,33;34,51;42,78;30;72,88;64,13;29,62;25,45;25,76;54,1;49,84;32,77;49,14;59,03
26.июл.05;27,82;60,01;23,11;47,18;65,58;51,22;43,27;40,07;25,61;33,97;35,36;43,32;37,42;24,17;83,51;26,59;61,67;34,44;42,82;29,75;72,5;64,27;29,57;25,3;25,58;54,27;49,75;32,88;49,22;58,7
27.июл.05;27,7;60,5;23,37;47,77;65,92;52,18;43,07;40,61;25,56;34,07;35,31;42,98;37,4;24,58;83,26;26,76;63,51;34,42;43,13;29,48;72,37;64,43;30,08;25,48;26,03;54,52;50,19;33,04;49,49;58,7
28.июл.05;28,11;60,44;23,78;48,22;65,23;53,82;42,98;40,82;25,68;34,15;35,9;43,5;38,35;24,3;83,19;27,04;63,7;34,53;43,5;29,67;73,4;64,97;30,15;25,51;26,1;54,97;50,73;33,39;49,51;59,09
29.июл.05;27,6;59,91;23,51;47,81;65,24;53,28;42,62;41,56;25,37;33,78;35,23;43,14;38,64;24,42;82,85;26,84;62,94;34,22;42,89;30,54;73,7;64,82;29,93;25,37;25,84;54,78;50,08;32,97;49,05;57,86
01.авг.05;27,46;59,8;23,53;47,66;64,98;53,39;42,82;41,17;25,34;33,53;35,27;42,5;38,15;24,31;82,82;26,81;63,47;34,37;42,99;30,55;73,99;64,3;29,56;25,68;25,97;54,48;49,41;32,73;49,22;58,33
02.авг.05;28,3;60,46;23,71;48,16;65,56;53,83;43,18;41,9;25,29;33,53;34,95;42,05;38,62;24,13;82,7;27,26;63,6;34,62;43,39;30,85;73,58;64,81;29,57;26,56;26,27;54,51;49,64;32,64;49,49;58,9
03.авг.05;28,39;60,74;24,01;48,23;65,87;53,76;43,16;41,92;25,5;33,49;34,91;41,87;38,29;24,41;83,45;27,42;63,84;34,67;43,78;30,98;72,9;65,35;29,69;27;26,26;54,16;49,49;32,96;49,37;58,11
04.авг.05;27,8;60,84;23,78;48,55;65,5;53,39;43,04;41,87;25,35;33,3;34,49;40,93;37,98;24,27;82,52;26,79;63,13;34,53;43,47;30,57;72,08;65,39;29,23;27,07;25,94;53,34;48,92;32,46;48,99;57,63
05.авг.05;27,74;60,71;23,66;48,51;65,42;52,99;42,75;41,58;25,21;33,05;33,67;40,6;37,85;24,48;82,75;26,55;62,53;34,32;43,18;30,67;71,72;64,21;29,54;27,5;25,59;53,27;48,77;32,1;49,02;57,21
08.авг.05;27,74;60,71;23,53;48,42;65,22;53,06;42,43;41,13;25,14;33,05;33,44;40,25;37,8;24,41;82,95;26,49;62,43;34,07;42,8;31,49;71,09;64,04;29,34;26,88;25,56;53,42;48,75;31,91;48,85;57,96
09.авг.05;28,31;61,13;23,59;48,32;66,35;53,71;42,72;41,5;25,87;33,43;33,86;41,01;38,23;24,35;83,09;26,68;63;34,11;43,22;31,79;70,75;64,28;29,85;27,1;26,03;53,12;49,17;32,08;48,92;58,56
10.авг.05;28,56;61,94;23,7;49,11;65,43;54,36;42,43;41,39;25,2;33,17;33,98;41,31;37,78;23,95;81,62;26,66;62,84;33,88;43,02;32,04;70,75;64,79;30,03;26,7;25,92;52,89;49,37;31,93;48,54;59,28
11.авг.05;29,45;62,37;23,78;49,38;66,77;54,86;42,63;41,05;25,61;33,79;33,88;41,15;38,2;23,99;82,26;26,6;63,29;33,89;43,23;33,99;71,1;65,31;29,95;27,02;25,96;52,84;51;31,89;48,65;60,32
12.авг.05;29,4;62;23,52;49,26;66,01;54,16;42,74;40,61;25,49;33,53;33,53;40,93;37,66;23,84;81,79;26,1;62,55;33,41;42,71;32,58;70,69;64,71;29,43;26,8;25,69;52,73;51,15;31,84;48,4;60,42
15.авг.05;28,92;61,86;23,52;49,14;66,92;54,62;42,91;40,77;25,89;33,49;33,52;41,26;38,23;23,9;82,1;26,31;62,34;33,74;42,67;32,92;70,93;64,88;29,54;26,96;25,73;53,35;51,12;31,78;48,8;59,8
16.авг.05;28,51;61,35;23,32;48,73;65,74;53,07;43,25;40,09;25,98;33,17;33,06;40,33;37,41;23,51;80,9;25,79;62,01;33,67;42,43;32,5;70,42;65,22;29,19;26,57;25,58;52,76;50,83;31,88;47,28;58,46
17.авг.05;28,08;61,21;23,28;48,71;66,48;52,84;43,21;40,24;26,01;33,39;33,06;40,28;38,06;26,61;80,9;25,88;62,49;33,55;42,44;33,19;70,93;65,69;29,44;26,78;25,69;52,6;51,21;31,84;46,97;57,58
18.авг.05;27,77;61,1;23,12;48,78;66,1;52,53;43,32;40,1;25,81;33,28;32,59;40,36;37,72;26,44;80,75;25,67;63,23;33,75;42,66;32,72;71,09;68,14;29,3;26,65;25,41;53,35;51,09;31,68;47,1;57,51
19.авг.05;27,8;60,92;23,21;48,77;66,61;54,18;43,27;40;25,7;33,24;32,52;40,03;37,8;26,28;82,36;25,44;62,88;33,63;43,5;32,71;71,24;67,74;27,04;26,55;25,09;53,71;51,33;31,86;46,44;58,21
22.авг.05;28,05;60,71;23,1;48,92;67,25;54,17;43,31;39,84;25,46;33,26;32,58;40,19;37,99;26,32;82,2;25,85;62,81;33,6;43,39;32,62;71,09;67,46;26,87;26,74;24,9;54,32;51,46;31,91;46,53;58,46
23.авг.05;27,38;60,41;23,27;48,68;66,89;54,06;42,68;39,66;25,53;33,26;32,53;40,3;37,81;26,5;81,63;25,51;62,08;33,45;43,31;32,38;70,17;67,48;26,57;26,7;24,64;54,55;51,12;32,02;46,2;58,39
24.авг.05;27,09;59,56;22,99;48,19;66,59;52,59;42,18;39,29;25,13;32,84;33,26;39,56;37,51;26,51;80,92;25,32;61,58;32,96;42,95;32,32;70,5;67,39;26,81;26,64;24,61;53,79;50,34;31,59;45,41;58,27
25.авг.05;27,17;59,41;22,96;48,45;66,67;52,78;42,4;39,3;24,93;32,8;33,08;39,84;37,6;26,69;80,7;25,25;61,85;33,22;42,93;32,63;70,48;67,68;26,76;26,86;24,42;54,16;50,22;31,49;45,15;58,57
26.авг.05;26,99;58,99;22,79;47,82;65,78;52,87;42,23;39,03;25,06;32,68;33,13;39,47;37,6;26,8;79,99;25,2;61,27;32,76;42,7;32,81;70,17;67,26;26,65;26,8;24,44;54,12;49,89;31,4;45,56;57,81
29.авг.05;27,18;59,25;22,91;48,58;67,04;53,08;42,66;39,01;25,08;32,9;33,04;40,2;37,67;26,48;80,94;25,52;62,33;33,02;43,12;32,5;70,26;67,35;27,09;26,98;24,65;54,79;49,96;31,23;45,51;57,82
30.авг.05;26,79;59;22,89;47,98;66,21;53,16;42,39;38,71;25,02;32,54;33,43;39,51;37,71;26,88;80,15;25,36;62,32;32,7;42,52;31,75;70,16;67,67;27,26;27,01;24,69;54,55;49,51;31,16;45,05;58
31.авг.05;26,5;59,07;23,15;48,02;66,48;54,85;42,89;38,87;24,93;32,91;33,18;40,08;37,86;27,54;80,23;25,51;62,7;33;43,12;31,8;70,33;68,44;27,57;27,21;25,02;54,63;49,61;31,51;44,82;59,28
01.сен.05;26,89;59,22;23,09;48,07;65,46;56,28;42,83;38,71;24,43;32,45;32;40,37;37,88;27,68;79,15;25,05;62,45;33,16;43;30,92;70,04;67,81;27,74;27,03;24,85;54,91;49,63;31,42;44,86;61,04
02.сен.05;26,63;59,2;22,95;48,12;63,83;57,57;43;38,16;24,5;32,63;31,94;40,09;37,55;27,38;79,07;25,07;62,22;33,21;43,02;31,26;70,67;67,82;28,16;26,85;24,87;55,13;50,2;31,29;44,41;60,05
06.сен.05;26,67;59,96;23,3;49,51;64,51;57,83;43,41;38,78;24,91;33,23;32,12;41,46;38,17;27,03;80,62;25,49;63,1;33,66;43,63;32;71,86;68,43;28,31;26,83;25,4;55,71;50,63;31,69;45,55;60,43
07.сен.05;26,27;60,02;23,15;49,87;63,99;58,38;43,56;39,07;24,95;33,3;32,03;41,68;38,11;27,24;80,58;25,45;64,1;33,97;43,76;33,02;72,92;68,79;28,57;26,68;25,83;55,4;50,91;31,53;45,72;60,82
08.сен.05;26,13;59,62;23,08;49,86;64,07;57,65;43,55;38,89;24,69;33,14;31,44;40,93;37,88;27,63;80,4;25,88;63,41;33,73;43,39;32,7;72,28;70,23;28,51;26,44;26,03;55,29;50,47;31,29;45,72;60,67
09.сен.05;26,55;61,09;23,12;50,58;64,88;58,18;43,71;39,13;24,78;33,27;31,48;40,97;38,39;27,59;81,04;25,04;64,03;33,9;43,17;33,45;72,67;70,34;28,62;26,41;25,86;56,03;51,03;31,53;45,75;62,55
12.сен.05;26,83;60,87;22,9;50,93;64,62;58,6;44,1;39,39;24,86;33,71;31,74;41,08;38,38;27,6;81,08;24,79;63,98;33,66;43,37;33,12;73,37;70,31;28,48;26,44;25,87;55,7;50,94;31,39;45,75;61,87
13.сен.05;26,51;60,86;22,87;50,19;64,88;58,71;44,19;39,04;24,55;33,56;31,73;40,36;38,53;27,39;80,36;24,7;63,36;33,25;43,06;32,45;73,15;69,52;28;26,31;25,51;54,69;51,11;31,31;44,93;61,23
14.сен.05;26,26;60,63;22,78;49,52;63,67;57,62;44,07;39,37;23,86;33,34;31,8;40,1;38,35;27,36;80,09;24,29;63,6;33,34;42,92;31,71;72,87;70,12;28,03;26,14;25,56;54,18;50,56;31,34;44,56;61,82
15.сен.05;26,09;60,81;22,99;50,04;64,56;57,07;44,12;39,39;23,75;33,66;31,59;40,1;38,18;27,73;79,62;24,35;63,67;33,23;43,03;32,78;72,46;70,72;28,09;26,1;25,24;54,65;50,28;31,2;44,19;61,81
16.сен.05;26,39;61,16;23,29;51,69;64,28;57,05;44,53;39,79;23,86;33,75;31,52;39,66;38,86;28,2;79,94;24,61;64,48;34,07;42,8;33,55;72,5;71,59;28,22;25,91;25,43;55,1;50,97;31,61;43,74;63,04
19.сен.05;26,07;60,21;23,13;51,31;63,59;56,31;44,45;39,58;23,65;33,34;30,39;39,29;37,88;28,73;79,04;24,48;63,95;33,68;42,76;32,83;71,66;71,44;27,98;25,84;25,14;54,71;50,48;31,39;43,88;63,96
20.сен.05;25,88;60,37;23,15;50,85;62,94;56,15;44,24;38,75;23,5;33,13;30,16;38,48;37,15;28,14;78,32;24,28;63,7;33,62;42,31;31,96;71,51;71,32;27,52;25,68;24,94;55,18;50,6;31,08;43,08;63,86
21.сен.05;25,8;59,27;23,02;49,55;61,91;56,45;43,92;38,32;23,08;32,85;29,79;38,12;36,49;27,95;77,18;24,3;64;33,12;41,67;30,79;71,49;70,12;27,15;25,33;24,85;55,05;50,18;30,78;42,36;64,3
22.сен.05;25,62;59,24;22,91;49,55;62,01;57,33;44,27;38,27;22,99;32,82;29,53;38,52;36,19;27,87;77,83;24,36;63,98;33,35;41,64;32,42;71,96;70,39;26,95;25,18;24,8;55,82;50,49;30,77;43,06;64,31
23.сен.05;24,16;59,92;22,85;49,46;62,7;58,24;44,33;38,09;22,98;32,92;30,15;38,3;37,07;28,33;77,62;24,18;63,3;33,17;41,77;31,98;71,71;70,39;26,97;25,11;24,42;55,87;51,29;30,98;43,07;63,17
26.сен.05;23,94;60,55;22,92;49,55;64,15;57,66;44,18;37,94;23,02;32,79;30,23;38,18;36,84;28,79;77,03;24,02;63,18;33,03;41,79;32,59;72,29;70,99;27,18;25,11;24,74;55,73;51,38;30,83;42,98;63,93
27.сен.05;23,75;60,62;22,73;49,29;66,02;58,04;44,18;37,75;23,11;33,15;29,86;38,16;37,18;28,23;77,61;23,64;62,76;32,99;41,75;32,35;72,33;71,94;26,81;25,18;24,35;56,23;51,54;30,68;42,97;63,95
28.сен.05;23,81;60,81;22,98;49,22;66,67;56,88;44,27;37,36;23,12;33,01;29,93;37,62;37,16;28,37;79,11;23,76;62,53;33,03;42,28;32,43;71,84;71,92;26,88;25,51;24,41;56,56;51,5;31,22;43;64,03
29.сен.05;24,19;62,12;22,8;49,99;66,74;57,32;44,72;37,92;23,71;33,16;29,78;37,83;37,14;28,79;79,97;24,28;63,06;33,45;42,51;32,81;72,33;72,09;26,68;25,78;24,64;57,25;51,09;31,34;43,41;64,13
30.сен.05;24,16;61,82;23,04;49,93;67,41;58,07;44,6;38,47;23,88;33,18;29,71;37,91;37,09;29,05;79,83;24,45;62,6;33,04;42,6;32,82;72,51;72,15;26,57;25,57;24,52;58,55;51,43;31,49;43,69;62,88
03.окт.05;23,61;61,4;23,03;50,4;66,6;58,33;44,59;38,15;23,76;32,75;30,12;37,89;36,66;28,75;80,06;24,4;61,9;33,22;42,62;33,19;71,69;72,59;26,61;25,34;24,84;58,4;51,29;31,21;43,63;61,84
04.окт.05;23,11;61,02;23,03;49,58;67,41;57,11;44,43;37,83;24,3;32,38;29,19;38,01;36,38;28,4;79,72;24,3;62,37;33,05;42,45;32,22;70,67;72,59;26,56;24,82;24,79;57,19;50,03;31,04;43,72;59,92
05.окт.05;22,7;60,97;22,73;49,84;66,51;55,57;44,36;37,3;23,98;32,21;27,79;37,45;36,23;27,33;79,43;23,87;61,58;32,9;42,03;32,19;70,35;72,51;26,26;24,51;24,35;56,24;49,63;30,64;43,37;58,34
06.окт.05;22,66;61,51;22,5;49,84;67,39;54,55;44,52;37,16;23,84;33,1;27,51;37,69;35,99;26,75;79,31;23,57;60,9;33,1;42,12;32,07;70,29;71,21;26,2;24,57;24,21;55,36;49,4;30,35;43,8;57,96
07.окт.05;22,79;61,73;22,17;49,59;66,76;55,96;44,5;37,21;23,85;33,73;27,46;37,57;36,15;26,96;80,11;23,63;60,68;33,34;41,62;31,57;70,9;70,93;25,24;24,44;23,95;55,18;49,75;29,84;43,9;58,98
10.окт.05;22,41;61,71;22,18;48,83;67,36;54,93;44,32;37,67;23,63;33,5;24,73;37,79;35,48;26,53;80,85;23,23;60,81;32,97;41,4;31,69;70,57;70,01;26,27;24,31;24,01;54,99;49,61;29,55;44,4;57,9
11.окт.05;22,6;61,57;21,99;48,96;66,17;54,92;43,9;37,83;23,52;33,31;25,64;38;35,64;27,1;82,78;23,23;60,63;32,76;41,09;31,69;69,74;70,54;26,12;24,26;23,86;55,15;49,52;29,21;44,88;58,79
12.окт.05;22,46;61,38;21,74;47,99;67,11;54,12;43,7;37,98;23,09;33,31;25,91;37,89;35,36;27,16;81,79;23,05;61,13;32,72;41,15;31,03;69,57;69,42;26,15;24,15;24,39;55,17;49,73;29,1;44,8;58,33
13.окт.05;22,3;62,13;21,68;48,03;65,96;53,37;43,82;37,55;23,18;33,53;26,35;37,72;35,48;27,1;81,8;23,01;63,33;33,19;41,15;31,41;69,26;68,13;26,18;24,44;24,06;55,34;50,09;29,07;44,62;57,56
14.окт.05;22,72;62,3;21,63;47,73;66,96;54,1;44,13;37,32;23,14;33,84;27,15;38,18;35,7;27,4;81,95;23,04;63,01;33,52;41,49;31,67;69,9;69,17;26,52;24,51;23,88;55,25;51,22;29,17;44,9;58,03
17.окт.05;22,95;62,96;21,63;47,9;66,7;54,39;43,91;37,23;23,24;33,52;29,2;38,23;35,97;27,24;82,19;23,27;62,32;33,44;41,51;32,04;71,63;73,38;26,45;24,38;23,69;54,93;50,71;28,68;45,1;58,25
18.окт.05;23,03;62,67;21,54;47,67;66,58;53,33;43,56;37,16;23,14;33,51;28,26;37,93;35,53;27,59;83,07;23,53;62,29;33,21;41,18;31,82;73,85;70,95;26,42;24,42;23,7;54,5;49,56;28,63;44,99;55,72
19.окт.05;23,46;63,34;21,84;48,75;67,82;54,79;43,99;37,92;23,19;33,91;27,54;39,03;33,68;27,5;83,76;23,5;63,62;34,16;41,23;33,01;74,78;72,29;26,29;24,93;23,54;55,1;51,47;28,68;45,85;56,58
20.окт.05;23,11;62,66;21,97;47,15;66,76;53,65;43,45;38,08;22,72;33,39;27,54;39,33;32,99;27,28;82,76;23,43;63,48;34,18;41,52;31,75;74,03;71,16;26,29;24,63;21,51;54,6;51,41;28,49;45,46;54,63
21.окт.05;23,1;62,78;22,41;46,94;65,49;48,57;43,42;37,95;22,74;33,24;27,43;39,41;32,84;27,43;82,92;22,96;63,38;34,55;41,35;31,83;74,02;71,43;25,57;24,62;20,87;54,25;50,51;28,8;45,58;54,8
24.окт.05;23,68;63,58;22,99;49,32;66,78;49,95;44,14;38,91;23,05;33,64;28,6;40,42;33,54;28,11;83,06;22,91;63,41;35,17;41,82;32,45;74,69;72,5;26,37;24,94;20,71;54,53;51,19;29,36;46,07;56,26
25.окт.05;23,49;63,61;23,09;49,49;66,44;49,93;44,26;40,07;23,27;33,42;28,42;39,88;33,35;27,34;82,95;22,92;62,89;35,13;41,88;32,34;74,8;72,83;26,39;24,87;20,82;55,02;50,83;29,65;45,25;56,61
26.окт.05;23,58;63,36;23,05;49,91;64,58;50,19;44,73;40,76;23,33;33,21;28,31;40,02;33,44;26,82;82,48;22,88;62,13;35,5;41,76;31,66;74,3;73,14;26,55;24,95;20,68;54,43;50,5;29,84;45,44;55,62
27.окт.05;23,61;62,99;23,1;48,68;63,54;49,54;44,5;40,63;23,17;33,09;26,39;39,15;33,04;26,66;81,91;22,65;60,78;35,44;41,57;30,92;73,95;71,85;26,29;24,69;20,72;54,46;50,01;30,01;44,6;55,03
28.окт.05;23,76;64,15;23,28;49,32;65,12;50,71;44,98;41,25;23,57;33,56;26,46;40,28;33,23;27,82;81,02;23,14;62,27;35,84;42,24;31,64;75,36;73,52;26,9;25,37;21,11;55,35;50,97;30,93;45,36;55,73
31.окт.05;24,03;64,65;23,24;49,54;64,12;52,22;44,86;40,95;24,11;33,42;26,59;40,79;33,82;27,9;81,48;23,31;61,94;36,02;42,19;30,96;75,1;73,46;27,56;25,54;21,35;55,42;50,88;30,74;47,17;55,56
01.ноя.05;24,33;64,93;23,17;48,93;64,53;52,34;44,49;40,99;24,4;33,11;26,39;40,73;34,14;28,14;81,19;22,47;61,23;36,24;42,06;31,13;74;72,64;27,85;25,8;21,16;54,68;50,5;30,57;46,85;55,82
02.ноя.05;24,67;66,07;23,3;49,74;64,18;53,31;44,63;41,73;24,56;33,32;25,76;41,01;34,51;28,64;80,66;23,18;60,64;36,59;41,97;31,61;74,28;73,07;27,74;26,29;21,21;55,08;50,48;30,7;47,42;56,79
03.ноя.05;25,01;65,77;22,92;49,5;64,98;53,1;44,97;42,24;24,64;33,49;25,82;40,55;35,04;28,59;82,46;23,78;60,54;36,48;41,99;32,56;74,27;72,72;28,79;26,27;21,48;55,39;51,1;30,08;47,31;57,96
04.ноя.05;25,05;65,84;23,06;49,18;64,76;53,17;45,12;42,54;24,55;33,53;25,98;41,11;35,5;28,38;82,59;23,88;60,22;36,69;41,72;32,76;74,26;72,47;28,54;26,49;21,86;55,35;51,22;30,15;47,55;57,3
07.ноя.05;25,82;66,19;22,81;49,57;65,17;53,86;45,94;42,33;24,9;33,53;26,45;41,25;35,5;28,58;83,2;24,38;60,77;37,06;41,83;33,02;74,97;72,62;28,76;26,84;21,87;55,01;51,23;29,8;47,9;56,51
08.ноя.05;25,87;65,7;23;48,91;64,74;53,86;46,11;42,25;24,9;33,27;25,57;40,33;35,38;28,39;82,94;24,43;60,11;36,72;41,56;33,32;75,07;72,95;28,68;26,88;21,7;55,14;51,12;29,91;47,47;57,07
