Date;AA;AIG;ATT;AXP;BA;CAT;CITI;DD;DIS;GE;GM;HD;HON;HP;IBM;INT;JNJ;JPM;KO;MCD;MMM;MO;MRK;MSFT;PFE;PG;UTX;VZ;WM;XON
04.фев.05;28,75;66,92;23,02;48,3;51,51;44,99;47,84;46,73;29;35,05;34,57;41,85;36,82;20,14;93,4;22,67;64,59;35,98;41,09;31,92;81,76;63,46;26,68;25,91;23,29;51,29;49,82;34,69;52,8;53,91
07.фев.05;29;67,1;22,9;48,08;51,43;44,73;47,79;47,3;29,57;35,03;35,14;41,95;36,67;20,06;93,42;22,58;64,79;36,25;41,11;32,12;81,57;63,04;26,75;25,76;23,94;51,2;49,06;34,52;52,85;54,02
08.фев.05;29,37;67,13;23,03;47,65;52,41;44,79;47,55;47,56;29,53;35,23;34,82;41,49;36,49;19,83;93,2;23,07;64,68;36,05;41,26;31,77;82,01;62,89;27,1;25,84;24,56;50,66;49,46;34,31;52,55;54,66
09.фев.05;28,63;68,69;22,82;47,39;53,27;44,38;47,27;47,65;29,04;34,9;34,45;41,3;36,39;21,2;91,78;22,97;64,54;35,8;41,37;31,33;81,05;61,83;27;25,67;24,26;50,2;49,22;33,95;51,88;54,42
10.фев.05;28,85;71,94;22,55;47,69;53,01;45,07;47,07;48,57;29,04;34,86;34,53;41,8;37,42;21,15;91,84;23,16;64,48;35,76;41,12;31,45;81,59;62,89;27,06;25,66;24,26;50,31;50,28;33,93;51,62;55,2
11.фев.05;29,22;72,47;22,7;47,76;53,29;45,42;47,48;49,37;29,03;35,03;34,96;42,24;38,08;20,97;92,38;23,82;65,22;35,78;41,37;31,6;81,72;62,7;27,48;25,57;24,35;50,83;49,66;34,18;51,46;54,98
14.фев.05;29,26;70,85;22,81;47,25;53,19;45,15;47,33;49,47;29,08;35,12;35,06;42,05;38,23;20,45;92,64;23,96;64,63;35,8;41,46;31,95;82,28;62,61;27,67;25,61;24,67;51,36;49,61;34,07;51,51;55,68
15.фев.05;29,18;71,21;22,95;47,16;53,57;44,8;47,48;49,99;29,27;35,19;35,04;42,16;37,99;20,8;93,4;24,12;64,55;35,85;41,26;32,49;83,62;62,57;27,62;25,61;24,42;52,12;50,33;34,13;52,05;55,77
16.фев.05;29,96;69,97;22,94;47,26;53,07;45,31;47,27;50,67;29,02;35,02;35;41,8;37,64;20,74;93,68;23,79;64,38;35,64;41,89;31,94;84,41;62,05;27,31;25,47;24,16;51,96;50,59;34;51,96;57,3
17.фев.05;30,39;69,06;22,69;47,16;52,82;44,95;46,9;50,54;29,04;34,84;35,03;41,25;37,09;20,54;92,82;23,29;64;35,12;41,6;31,64;83,35;61,3;27,15;25,33;24,27;51,98;49,92;33,59;52,05;56,96
18.фев.05;30,45;68,32;22,63;46,84;51,95;44,47;46,68;52,12;28,75;34,7;35,11;41,46;37,25;20,68;92,35;23,68;64,08;34,86;41,56;31,68;83,19;61,47;30,68;25,17;25,95;52,14;49,63;33,24;52,07;58,21
22.фев.05;30,06;67,3;22,49;46,54;51,33;43,8;46,08;51,03;28,13;34,18;34,6;39,74;36,45;20,26;91,41;23,42;63,72;34,3;41,4;31,31;81,74;59,79;29,37;24,92;25,75;50,93;48,52;33,31;51,36;57,08
23.фев.05;30,34;68,04;22,59;46,72;51,89;44,29;46,5;51,5;28,35;34,11;34,6;39,22;36,56;20,05;91,19;22,98;64,06;34,83;41,19;31,79;82,01;60,95;29,88;24,89;25,48;52,13;49,06;33,47;50,97;58,22
24.фев.05;30,8;67,58;22,61;47,03;53,09;45,61;46,42;51,72;27,85;34,59;34,54;39,09;36,85;20,13;91,72;23,36;64,53;35,02;41,27;31,99;82,36;61,75;30,1;25,06;25,56;52,47;49,2;33,42;50,83;59,9
25.фев.05;30,96;67,74;22,66;47,23;54,13;46,42;46,4;52,13;27,6;34,66;34,73;40,04;37,29;20,34;91,88;23,74;64,85;35,3;41,62;32,32;82,68;62,23;30,02;24,94;26,01;52,82;49,69;34,08;50,86;61,99
28.фев.05;31,44;66,21;22,52;46,86;54,11;46,54;45,86;51,49;27,65;34,25;33,56;39,48;37,14;20,48;91,66;23,65;64,24;34,9;41,41;32,42;82,03;62,18;29,83;24,85;25,46;51,74;49,13;33,86;50,98;62,03
01.мар.05;30,99;65,96;22,76;47,29;53,63;47,67;46,02;52,05;28,18;34,27;33,87;39,51;36,85;20,4;92,38;24,27;65,27;35,41;41,86;32,66;82,55;62,61;30,23;24,97;25,77;52,15;49,14;34,12;51,4;60,85
02.мар.05;30,64;64,6;22,76;47,33;54,43;47,57;46,26;51,52;28,39;34,64;33,23;39,44;36,94;20,38;92;24,17;65,57;35,32;41,64;32,61;82,64;62,38;30,09;24,95;25,77;52,23;48,95;34,33;51,31;61,42
03.мар.05;30,62;64,5;22,8;47,34;56,52;47,85;46,1;51,3;28,27;34,59;33,11;39,19;37,17;20,49;91,49;24,15;65,37;35,34;41,77;32,74;82,97;62,22;30,07;24,86;25,75;52,12;49,04;34,24;52,21;61,78
04.мар.05;31,13;64,64;22,92;47,55;57,46;48,94;46,52;52,7;28,58;35,15;32,8;39,55;37,83;20,25;91,45;24,33;66,34;35,81;42,22;33,28;84,5;62,56;30,17;24,86;26;52,49;49,55;34,28;52,45;62,29
07.мар.05;30,69;65,36;22,85;47,55;57,38;48,42;46,58;52,12;28,66;35,16;32,87;39,35;37,89;20,55;90,69;24,75;67,02;35,65;42,3;33,52;84,74;62,18;30,18;25,16;26,32;52,34;49,83;34,37;52,13;61,73
08.мар.05;30,58;66,27;22,62;47,09;57,24;48,47;46,58;51,95;28,23;35,09;32,42;39,53;37,87;20,6;91,22;24,44;66,78;35,27;42,01;32,81;84,42;62,23;30,21;25,09;25,91;52;50,3;33,98;51,78;61,83
09.мар.05;30,27;65,14;22,55;46,42;56,84;47,4;46,02;52,62;27,69;34,78;32,08;39,06;37,28;20,32;91,43;24,48;66,36;34,82;41,8;31,88;84,16;61,56;30,31;25;25,89;51,66;49,45;34,02;51,81;59,56
10.мар.05;29,84;65,66;22,57;46,75;57,07;48,11;46,28;52,21;27,71;35,16;32,58;39,45;37,51;20,28;91,49;24,49;66,59;34,71;41,67;32,09;84,68;62,03;30,62;25,12;25,9;51,92;50,09;34,05;51,51;59,15
11.мар.05;30,35;64,26;22,46;46,33;56,59;48,47;45,93;51,66;27,3;34,85;32,33;38,99;37,67;19,63;90,6;23,85;66,2;34,48;41,37;31,93;83,69;62,4;30,62;24,78;25,53;51,18;49,85;33,96;50,97;59,82
14.мар.05;30,52;63,4;22,54;46,6;56,8;47,26;46,34;52,11;27,73;35,24;32,32;39,04;38,05;19,97;90,99;23,92;66,42;34,8;41,23;32,3;83,95;62,42;30,75;24,8;25,69;51,9;50,65;33,96;50,67;60,04
15.мар.05;30,93;61,49;22,14;46,29;57,56;47,37;45,94;51,33;28,3;35,03;31,74;39,33;38,19;19,91;90,47;23,54;65,87;34,61;41,13;31,78;83,91;62,5;30,47;24,6;25,46;51,58;50,32;33,59;50,4;59,13
16.мар.05;30,72;62,46;21,92;45,58;55,88;47,13;45,53;49,98;28,35;34,65;27,31;38,46;37,31;19,99;89,75;23,2;65,66;34,61;40,84;31,67;84,05;61,8;30,18;24,33;25,23;51,47;49,93;33,27;50,85;59,07
17.мар.05;30,9;60,37;21,9;45,39;56;47,4;45,4;49,83;28,07;34,42;26,69;38,49;37,59;20,15;88,97;23,07;65,6;34,51;40,9;31,16;84,02;62,17;30,2;24,24;25,19;51,41;50,35;33,15;51,84;60,25
18.мар.05;31,01;59,34;21,85;45,34;56,26;47,2;45,03;50,37;27,79;34,91;26,94;38,46;37,58;19,87;88,4;23,07;65,86;34,38;40,37;31,26;84,2;61,99;30,51;24,01;25,01;52,05;51,03;33,09;50,97;61,39
21.мар.05;30,8;57,49;21,72;45,25;55,95;47,09;43,98;49,64;27,88;35,04;27,95;37,58;37,45;19,92;88,62;23,16;65,47;34,17;40,51;31,04;83,72;60,61;30,32;23,9;24,9;51,4;51,07;32,9;50,69;60,9
22.мар.05;30,31;55,81;21,56;44,29;56,32;46,37;42,71;49,98;27,49;34,54;27,81;37,41;37,4;19,78;88,61;22,69;65,41;33,47;40,31;30,82;83,44;60,87;30,45;23,69;24,62;50,73;50,53;32,44;50,42;59,67
23.мар.05;29,75;56,3;21,9;43,63;55,96;45,85;42,72;49,47;27,49;34,54;26,98;37,29;36,46;19,54;89,62;23,05;66,79;33,35;40,1;30,82;83,14;61,21;30,53;23,88;25,22;51,49;50,1;32,86;50,18;58,88
24.мар.05;29,72;55,22;21,81;43,51;55,91;45,82;42,79;49,25;27,46;34,77;27,58;37,61;36,35;19,59;89,8;22,85;66,68;33,35;40,12;30,95;83,34;61,04;30,35;23,98;25,34;51,27;50,14;32,72;50,19;57,81
28.мар.05;29,42;56,62;21,98;44,21;57,19;46,13;43,03;49,5;27,87;35;26,71;38,17;36,27;19,57;90,14;22,97;66,94;33,27;40,04;30,9;83,24;61,78;30,24;23,9;25,4;51,18;50,13;32,68;50,51;57,7
29.мар.05;28,95;57,79;21,83;44,05;56,35;43,97;42,62;48,58;27,61;34,57;26,93;37,28;35,69;21,53;89,7;22,82;66,51;33,02;40,3;30,4;82,73;61,67;30,48;23,62;24,83;50,55;49,9;32,82;50,3;57,1
30.мар.05;29,27;56,76;22,18;44,64;57,87;44,79;43,17;49,39;28,05;35,22;27,77;37,73;36,33;21,75;89,78;23,15;66,64;33,37;40,85;31,01;84,03;62,6;30,89;23,86;25,46;52,01;50,53;33,35;50,36;58,05
